Tanggal,Waktu,Ticker,Nama,Status,Skor,HargaScreening
2026-09-01,2026-09-01T15:28:39Z,ADMR,Alamtri Minerals Indonesia T,BUY,60,1685
2026-09-01,2026-09-01T03:07:05Z,AKRA,AKR Corporindo Tbk,BUY,77,1455
2026-09-01,2026-09-01T03:07:05Z,BBRI,Bank Rakyat Indonesia (Perse,BUY,65,3250
2026-09-01,2026-09-01T15:28:39Z,BDMN,Bank Danamon Indonesia Tbk.,BUY,67,4370
2026-09-01,2026-09-01T03:07:05Z,ESSA,ESSA Industries Indonesia Tb,BUY,76,650
2026-09-01,2026-09-01T03:07:05Z,FORE,Fore Kopi Indonesia Tbk.,BUY,63,825
2026-09-01,2026-09-01T03:07:05Z,GGRM,Gudang Garam Tbk,BUY,72,20800
2026-09-01,2026-09-01T03:07:05Z,IATA,Karya Pacific Energy Tbk.,BUY,31,126
2026-09-01,2026-09-01T03:07:05Z,ICBP,Indofood CBP Sukses Makmur T,BUY,71,7600
2026-09-01,2026-09-01T15:28:39Z,INDF,Indofood Sukses Makmur Tbk,BUY,75,7200
2026-09-01,2026-09-01T03:07:05Z,JGLE,Graha Andrasentra Propertind,BUY,29,92
2026-09-01,2026-09-01T03:07:05Z,LSIP,PP London Sumatra Indonesia ,BUY,88,1485
2026-09-01,2026-09-01T03:07:05Z,MAPI,Mitra Adiperkasa Tbk,BOW,74,1400
2026-09-01,2026-09-01T03:07:05Z,MDKA,Merdeka Copper Gold Tbk.,BUY,31,2940
2026-09-01,2026-09-01T03:07:05Z,MEDC,Medco Energi Internasional T,BUY,60,1405
2026-09-01,2026-09-01T03:07:05Z,MMIX,Multi Medika Internasional T,BUY,53,780
2026-09-01,2026-09-01T03:07:05Z,OASA,Maharaksa Biru Energi Tbk.,BUY,31,334
2026-09-01,2026-09-01T03:07:05Z,SMIL,Sarana Mitra Luas Tbk.,BUY,52,412
2026-09-01,2026-09-01T03:07:05Z,SMSM,Selamat Sempurna Tbk,BUY,84,1715
2026-09-01,2026-09-01T03:07:05Z,SRTG,Saratoga Investama Sedaya Tb,BUY,89,1855
2026-09-01,2026-09-01T03:07:05Z,VKTR,VKTR Teknologi Mobilitas Tbk,BUY,30,960
2026-09-02,2026-09-02T15:06:22Z,ADRO,Alamtri Resources Indonesia ,BUY,73,2650
2026-09-02,2026-09-02T15:06:22Z,BYAN,Bayan Resources Tbk,BUY,61,13700
2026-09-02,2026-09-02T15:06:22Z,ELSA,Elnusa Tbk,BUY,84,715
2026-09-02,2026-09-02T15:06:22Z,GJTL,Gajah Tunggal Tbk,BUY,75,1380
2026-09-02,2026-09-02T15:06:22Z,HATM,Habco Trans Maritima Tbk.,BUY,46,605
2026-09-02,2026-09-02T15:06:22Z,ICBP,Indofood CBP Sukses Makmur T,BOW,71,7375
2026-09-02,2026-09-02T15:06:22Z,INDF,Indofood Sukses Makmur Tbk,BOW,75,7175
2026-09-02,2026-09-02T15:06:22Z,MEDC,Medco Energi Internasional T,BUY,60,1445
2026-09-02,2026-09-02T15:06:22Z,NSSS,Nusantara Sawit Sejahtera Tb,BUY,65,900
2026-09-02,2026-09-02T15:06:22Z,OASA,Maharaksa Biru Energi Tbk.,BUY,26,326
2026-09-02,2026-09-02T15:06:22Z,SMSM,Selamat Sempurna Tbk,BUY,82,1720
2026-09-02,2026-09-02T15:06:22Z,VKTR,VKTR Teknologi Mobilitas Tbk,BUY,30,935
2026-09-03,2026-09-03T15:00:49Z,ADMR,Alamtri Minerals Indonesia T,BUY,60,1660
2026-09-03,2026-09-03T01:08:02Z,ADRO,Alamtri Resources Indonesia ,BUY,73,2650
2026-09-03,2026-09-03T15:00:49Z,AKRA,AKR Corporindo Tbk,BUY,77,1400
2026-09-03,2026-09-03T15:00:49Z,BBTN,Bank Tabungan Negara (Perser,BUY,70,1255
2026-09-03,2026-09-03T15:00:49Z,BDMN,Bank Danamon Indonesia Tbk.,BUY,67,4470
2026-09-03,2026-09-03T15:00:49Z,BULL,Buana Lintas Lautan Tbk.,BUY,67,452
2026-09-03,2026-09-03T01:08:02Z,ELSA,Elnusa Tbk,BUY,84,715
2026-09-03,2026-09-03T01:08:02Z,GJTL,Gajah Tunggal Tbk,BUY,75,1380
2026-09-03,2026-09-03T01:08:02Z,HATM,Habco Trans Maritima Tbk.,BUY,46,605
2026-09-03,2026-09-03T01:08:02Z,ICBP,Indofood CBP Sukses Makmur T,BOW,71,7375
2026-09-03,2026-09-03T15:00:49Z,MARK,Mark Dynamics Indonesia Tbk.,BUY,80,1085
2026-09-03,2026-09-03T15:00:49Z,MDIA,Intermedia Capital Tbk.,BUY,35,252
2026-09-03,2026-09-03T01:08:02Z,MEDC,Medco Energi Internasional T,BUY,60,1445
